bid,uid,rid
7PUidqRWpRSpXebiyxTg,uEgYrUmi76NKTrMeDQq1Q,3Tacyj4Iu8XBAltOrdj6A
0TffRSXXIlBYVbb5AwfTg,1xzVJtkjnUUYsFJ8xRMxYg,jNwGwhrvj85SrR96cY8Tw
0epFLgYq2C1Jo_W4FOBKw,g32bYHDBtJrAalYR3TWvOw,XKLhk03jCPnDiRQk1GzOVA
0jzoPt3UeXn6FUXVQvyPg,Wxw5fFaT2b3hZn1PcHGPQ,I9_ZniOkttLuD19o9QXeA
1MhPXk1FglglUAmuPLIGg,TSPqvlIQGQhVbEwHlCemTA,qJ1wZxPBCQNOQxdDQttQ
1PG6k_iezwJmRZLB7f6og,L3bO3nVwbt3Bq5uF9er9YQ,POK5FlWefqHWz8g4KAHH4Q
1PvWminK3Er7fqpTjk19A,dQE8Yy6EDujaMJQmke70Vw,N745NRKghcDaYqBXnEBiw
1owBLC2h6DF5n_j77oq3g,nvhhjRsKgouqOaZjZqPTA,ynFxKVNQXOAuupm3fjEIxg
2Axhv9AZ_n7qjQefECpVw,fHzli29CAl846tMjt7dVnQ,zg_GJy92M3ZgPffXiTYJZQ
2BDt9OdGiBONysWCdKgNg,P_YkpTfnyrq1vfFk0Lk_cA,rtKGK77cDSQw99_gNpk3w
2KK9cqa26KZ1xrfOm9A7w,PcYMJJCbvtu3roNBdPuZxQ,QGsoLVpuJlduGCcJX6NQ
2VYztMXVorktljCdQNPmQ,eEqxisfZSiay63O8g5Bd8A,7riPtZThuIPegJiGkvgzw
2WAq2pOLnc4__lPy6kvoQ,WiuchAphvHvAV5G3mmoK5A,OiN74NSUjyGjSFswYNvs_g
2ke_JDOpgTZWqirMFjZcw,RfpGjrHA4uVDu4iUMbWA,fVvofUlXZ1t6YhYv3NepIg
36BB10tIWNKGEF0Es2BA,gjMkbLe5x0mh3IOoUWnNTQ,90BVLLVINtYgZhoBBUIHDw
3725FZiIIYdwQtM4MKEIA,7BeyWDsPYycnkdhaZ6Mzxw,mFtUQixHokcXi8N1ttucWg
3AooxIkg38UyUdlz5oXdw,M6zWMqZrN4WTD4GdNK3HvQ,KaL1_7ITPUg98ThoGrM5_Q
3GD07waps96fB_okEwFqw,Tm3EEwxYGHuXxd0Q9cASow,wHArQaZN1zWdho429p01Q
3IOd5YntpkbK6RwT3HYtA,CucLZWuKr4ixuETKZvM_Ww,ueYyvy2vn2wMmZcRBLaN1g
40qQXB8JsneSiDqXMjoeg,Y5V0sf5ZbgETWkLNQcmhQ,3ZLhqXKTOPTXIRRzR4s4rQ
49YlJ2GGzgmQ71FX9gGyg,P50cRhK6s7ZJHYvIMH96xQ,9eUPHrPLWOGVDYkYw9aA
4E0hSCldRJZLI1cT38Sw,UxIOgHuxxu2tNurtIhp1Sw,r_ixU9k7J6rF2wISHC8EQ
4J6iW94f7qhnwmp4Z9bdg,oYGDuK1w0AwJ2eTA2rJwwA,R5yBeUelldlvjEunZ0E3oA
4lNMmoW7gRxkH0c2dfXfA,ZNyaVBFfzUntqyuWGZnFw,fvB8P91_rxdmkBKn5EYEA
5ivHc7R7F_fHxTtxGvlgA,KE4aIUuvl8p2BABubh0cdw,Lnpgg1_mtElEhcobuIbR6A
